Id,Date,Time,League,Home,Away,Round,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
pjajmrgA,21/04/2024,00:10,MEXICO - LIGA MX,U.N.A.M.- Pumas,Club America,CLAUSURA ,3.75,3.6,2.0,1.67,2.15,1.62,2.2
KfGXEHUI,21/04/2024,02:00,SOUTH KOREA - K LEAGUE 1,Gangwon,Incheon,ROUND 8,2.45,3.1,2.8,2.5,1.5,2.1,1.67
jgBAdEBt,21/04/2024,02:00,JAPAN - J2 LEAGUE,V-Varen Nagasaki,Yokohama FC,ROUND 11,2.75,3.1,2.7,2.15,1.67,1.83,1.83
dndA2S0n,21/04/2024,02:00,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Gimpo FC,ROUND 8,3.1,3.1,2.2,2.35,1.57,2.0,1.73
Iec638ot,21/04/2024,02:00,SOUTH KOREA - K LEAGUE 2,Anyang,Suwon Bluewings,ROUND 8,2.75,3.25,2.38,2.03,1.78,1.8,1.91
8CvQH8Vl,21/04/2024,02:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Adelaide United,ROUND 25,1.75,4.0,4.0,1.44,2.75,1.44,2.63
pGAEeYQn,21/04/2024,02:00,JAPAN - J2 LEAGUE,Oita Trinita,Iwaki,ROUND 11,3.2,3.25,2.3,2.08,1.73,1.8,1.91
djEIfhtg,21/04/2024,02:00,JAPAN - J2 LEAGUE,Kagoshima Utd,Tochigi SC,ROUND 11,1.91,3.3,4.33,2.05,1.75,1.83,1.83
lpPr1f3P,21/04/2024,02:00,JAPAN - J2 LEAGUE,Renofa Yamaguchi,Mito,ROUND 11,2.63,3.1,2.8,2.5,1.5,2.1,1.67
CSu0xBQO,21/04/2024,02:00,JAPAN - J2 LEAGUE,Chiba,Blaublitz,ROUND 11,2.0,3.25,4.0,2.3,1.6,2.0,1.73
UFEE5jjP,21/04/2024,03:00,JAPAN - J1 LEAGUE,FC Tokyo,Machida,ROUND 9,2.7,3.2,2.75,2.25,1.62,1.95,1.8
WO0t1Abt,21/04/2024,03:00,JAPAN - J1 LEAGUE,Nagoya Grampus,Cerezo Osaka,ROUND 9,3.0,3.1,2.6,2.88,1.4,2.2,1.62
WpQKwjh8,21/04/2024,04:00,AUSTRALIA - A-LEAGUE,Perth Glory,Western United,ROUND 25,2.25,3.8,2.88,1.4,3.0,1.33,3.25
WWSvNEMu,21/04/2024,04:30,SOUTH KOREA - K LEAGUE 1,Daegu,Daejeon,ROUND 8,2.4,2.9,3.1,2.6,1.48,2.1,1.67
4CaI06Vb,21/04/2024,04:30,SOUTH KOREA - K LEAGUE 2,Asan,Jeonnam,ROUND 8,2.25,3.2,3.0,2.35,1.57,1.91,1.8
j9eE1nGh,21/04/2024,04:30,SOUTH KOREA - K LEAGUE 2,Gyeongnam,Seoul E-Land,ROUND 8,2.63,3.2,2.5,2.1,1.7,1.83,1.83
vcWvwEdF,21/04/2024,05:00,ROMANIA - LIGA 2,Selimbar,Unirea Slobozia,CHAMPIONSHIP GROUP ,2.9,3.2,2.37,2.32,1.53,2.05,1.7
tAAPdGPA,21/04/2024,05:30,AUSTRIA - 2. LIGA,Grazer AK,St. Polten,ROUND 24,1.95,3.45,3.6,1.75,2.0,1.62,2.15
G2PcZvKm,21/04/2024,07:00,UKRAINE - PREMIER LEAGUE,Veres-Rivne,Dnipro-1,ROUND 25,4.6,3.35,1.75,2.2,1.52,2.1,1.57
2ZJP1GPu,21/04/2024,07:00,SPAIN - PRIMERA RFEF,Gimnastic,Celta Vigo B,GROUP 1 ,2.15,2.9,3.25,2.5,1.5,2.1,1.67
8vHDnUOK,21/04/2024,07:00,SPAIN - PRIMERA RFEF,Ceuta,Baleares,GROUP 2 ,1.3,4.5,9.0,1.7,2.1,2.1,1.67
